family,n,seed,panel,tau,w,accumulate,steps,triggers,subs,fallbacks,scanned,trigger_pct,sub_pct,fallback_pct,sub_success_given_trigger_pct,avg_scanned_per_step,max_mult,growth,residual,finite,time_s
uniform,256,1,32,1.005,6,fp32,256,14,14,0,15,5.46875,5.46875,0.0,100.0,0.05859375,0.99462890625,12.1015625,0.0012880309980793795,True,0.02141477700206451
uniform,256,1,32,1.01,2,fp32,256,26,22,4,28,10.15625,8.59375,1.5625,84.61538461538461,0.109375,0.99853515625,21.296875,0.0013273373304161222,True,0.01887667298433371
uniform,256,1,32,1.005,12,fp32,256,14,14,0,15,5.46875,5.46875,0.0,100.0,0.05859375,0.99462890625,12.1015625,0.0012880309980793795,True,0.020967340999050066
uniform,256,1,32,1.005,16,fp32,256,14,14,0,15,5.46875,5.46875,0.0,100.0,0.05859375,0.99462890625,12.1015625,0.0012880309980793795,True,0.02135746701969765
uniform,256,1,32,1.01,4,fp32,256,21,17,4,27,8.203125,6.640625,1.5625,80.95238095238095,0.10546875,1.0,10.9921875,0.0012995293262433995,True,0.021325207024347037
uniform,256,1,32,1.01,1,fp32,256,26,22,4,25,10.15625,8.59375,1.5625,84.61538461538461,0.09765625,0.99853515625,21.296875,0.0013273373304161222,True,0.024476644000969827
uniform,256,1,32,1.01,8,fp32,256,27,26,1,41,10.546875,10.15625,0.390625,96.29629629629629,0.16015625,0.9970703125,11.703125,0.0012850349994715559,True,0.024900407006498426
uniform,256,1,32,1.01,12,fp32,256,27,26,1,45,10.546875,10.15625,0.390625,96.29629629629629,0.17578125,0.9970703125,11.703125,0.0012850349994715559,True,0.025064415007364005
uniform,256,1,32,1.02,12,fp32,256,28,26,2,48,10.9375,10.15625,0.78125,92.85714285714286,0.1875,0.99951171875,10.84375,0.0012881815717271196,True,0.016688871022779495
uniform,256,1,32,1.02,1,fp32,256,44,37,7,43,17.1875,14.453125,2.734375,84.0909090909091,0.16796875,0.9970703125,10.4375,0.0012803412062878453,True,0.022710506978910416
uniform,256,1,32,1.02,4,fp32,256,45,42,3,61,17.578125,16.40625,1.171875,93.33333333333333,0.23828125,0.9970703125,12.65625,0.0012879145605048069,True,0.02238381901406683
uniform,256,1,32,1.01,6,fp32,256,27,26,1,39,10.546875,10.15625,0.390625,96.29629629629629,0.15234375,0.9970703125,11.703125,0.0012850349994715559,True,0.02657018302124925
uniform,256,1,32,1.01,16,fp32,256,27,26,1,49,10.546875,10.15625,0.390625,96.29629629629629,0.19140625,0.9970703125,11.703125,0.0012850349994715559,True,0.024995248997583985
uniform,256,1,32,1.02,2,fp32,256,44,40,4,53,17.1875,15.625,1.5625,90.9090909090909,0.20703125,0.998046875,9.6484375,0.0012676239725976086,True,0.02502907600137405
uniform,256,1,32,1.02,8,fp32,256,28,26,2,44,10.9375,10.15625,0.78125,92.85714285714286,0.171875,0.99951171875,10.84375,0.0012881815717271196,True,0.02295388700440526
uniform,256,1,32,1.02,6,fp32,256,28,26,2,42,10.9375,10.15625,0.78125,92.85714285714286,0.1640625,0.99951171875,10.84375,0.0012881815717271196,True,0.027575104002607986
uniform,256,0,32,1.5,16,fp32,256,250,38,212,2737,97.65625,14.84375,82.8125,15.2,10.69140625,1.0,10.3125,0.0012885666627950223,True,0.06300542200915515
uniform,256,1,32,1.02,16,fp32,256,28,26,2,52,10.9375,10.15625,0.78125,92.85714285714286,0.203125,0.99951171875,10.84375,0.0012881815717271196,True,0.02279948999057524
uniform,256,1,32,1.05,6,fp32,256,96,93,3,155,37.5,36.328125,1.171875,96.875,0.60546875,0.9970703125,12.3203125,0.0012613361295516076,True,0.017948582011740655
uniform,256,1,32,1.05,2,fp32,256,93,79,14,123,36.328125,30.859375,5.46875,84.94623655913979,0.48046875,0.99755859375,9.734375,0.0012705116856741856,True,0.022793911019107327
uniform,256,1,32,1.05,1,fp32,256,90,60,30,89,35.15625,23.4375,11.71875,66.66666666666667,0.34765625,0.99951171875,10.2109375,0.0013023175201899273,True,0.02357179601676762
uniform,256,1,32,1.05,4,fp32,256,99,94,5,149,38.671875,36.71875,1.953125,94.94949494949495,0.58203125,0.998046875,10.53125,0.0012750730348412664,True,0.02322237699991092
