tau,w,runs,trigger_pct,sub_pct,fallback_pct,sub_given_trig,avg_scans,max_mult,growth_mean,growth_max,residual_gmean,residual_max
1.01,1,120,9.307861328125,8.21533203125,1.092529296875,88.42310467912012,0.09115397135416667,1.0,14.199853515625,48.96875,0.002946210346044966,0.0088371370729771
1.01,2,120,9.344075520833334,8.992919921875,0.3511555989583333,96.30463247262037,0.10096842447916667,1.0,14.4235595703125,49.375,0.002945933810448311,0.008821508405544755
1.01,4,120,9.3115234375,9.05517578125,0.25634765625,97.23798343213876,0.1028076171875,1.0,14.187019856770833,46.5625,0.00294498129825468,0.008881143354304167
1.01,6,120,9.346923828125,9.105631510416666,0.24129231770833334,97.43471391870801,0.10446370442708333,1.0,14.2015380859375,46.5625,0.0029442327973492736,0.008881143354304167
1.01,8,120,9.346923828125,9.105631510416666,0.24129231770833334,97.43471391870801,0.10557047526041667,1.0,14.2015380859375,46.5625,0.0029442327973492736,0.008881143354304167
1.01,12,120,9.337972005208334,9.107666015625,0.23030598958333334,97.55303819680991,0.10779215494791666,1.0,14.016251627604166,44.40625,0.002944443910789405,0.008881143354304167
1.01,16,120,9.360758463541666,9.138590494791666,0.22216796875,97.66085416133319,0.10989176432291667,1.0,14.062540690104166,44.40625,0.0029440006637417087,0.008881143354304167
1.02,1,120,18.293050130208332,14.713541666666666,3.5795084635416665,80.87456867108486,0.17878011067708333,1.0,13.70458984375,43.75,0.002932568810819764,0.008862895716696866
1.02,2,120,18.43994140625,17.275390625,1.16455078125,93.77705052304466,0.21253255208333333,1.0,14.252278645833334,58.40625,0.0029260065680228016,0.008806023533773627
1.02,4,120,18.672688802083332,18.090413411458332,0.582275390625,96.9042283177398,0.22339274088541666,1.0,13.959464518229167,46.84375,0.002922846142244451,0.008736259478478602
1.02,6,120,18.496907552083332,17.947184244791668,0.5497233072916666,97.02097304689593,0.22329508463541667,1.0,13.8688720703125,46.84375,0.0029219866118248344,0.008729736424339237
1.02,8,120,18.496907552083332,17.947184244791668,0.5497233072916666,97.02097304689593,0.22441813151041667,1.0,13.8688720703125,46.84375,0.0029219866118248344,0.008729736424339237
1.02,12,120,18.492024739583332,17.943522135416668,0.5485026041666666,97.02534114713028,0.22642415364583332,1.0,13.887361653645833,46.84375,0.0029221753834448782,0.008729736424339237
1.02,16,120,18.480631510416668,17.934977213541668,0.545654296875,97.03683141526004,0.22870279947916666,1.0,13.985799153645834,47.84375,0.002922279753153478,0.008729736424339237
1.05,1,120,42.559407552083336,26.158040364583332,16.4013671875,62.06194417728307,0.4169718424479167,1.0,13.770491536458334,40.75,0.002917542166849056,0.008748210735498013
1.05,2,120,43.5986328125,35.563151041666664,8.035481770833334,81.98565756422174,0.599560546875,1.0,13.846256510416667,46.3125,0.00290357343212209,0.00868771694679361
1.05,4,120,43.656412760416664,40.718994140625,2.9374186197916665,93.4278444238701,0.700830078125,1.0,13.851619466145833,49.375,0.0028875384769309034,0.008604439264850577
1.05,6,120,43.94775390625,42.002360026041664,1.9453938802083333,95.64537949907388,0.7305867513020833,1.0,13.530867513020834,38.75,0.002887001693904357,0.008646897460780487
1.05,8,120,43.64501953125,41.81640625,1.82861328125,95.85762085286726,0.7268880208333334,1.0,13.645760091145833,49.125,0.002884753994043972,0.008599657076713665
1.05,12,120,43.586832682291664,41.809895833333336,1.7769368489583333,95.96489006727917,0.731005859375,1.0,13.639314778645833,45.03125,0.0028836331392376744,0.008617971494607041
1.05,16,120,43.544514973958336,41.787109375,1.7574055989583333,96.00189592561043,0.7334147135416667,1.0,13.717179361979166,41.15625,0.002883427792632366,0.008617971494607041
1.1,1,120,67.655029296875,26.532389322916668,41.122639973958336,39.69469252264151,0.66162109375,1.0,13.373787434895833,41.28125,0.0029061850451229812,0.008717769881376328
1.1,2,120,69.05517578125,39.131673177083336,29.923502604166668,57.284063470376054,1.1193277994791666,1.0,13.5041259765625,50.3125,0.0028817764241041125,0.008722956226559997
1.1,4,120,69.97762044270833,53.275146484375,16.702473958333332,76.66923245255845,1.6537638346354167,1.0,13.000333658854167,41.8125,0.0028490653443727075,0.008510956179109345
1.1,6,120,70.03987630208333,59.685872395833336,10.35400390625,85.57106331933697,1.8868570963541667,1.0,13.0983154296875,61.375,0.0028291270659444017,0.008415431500188086
1.1,8,120,69.37459309895833,61.847330729166664,7.527262369791667,89.42056631874311,1.998583984375,1.0,13.229361979166667,45.5625,0.0028237123296799786,0.008388556101388835
1.1,12,120,69.81648763020833,64.08528645833333,5.731201171875,91.9493414381674,2.080061848958333,1.0,12.894571940104166,38.59375,0.002820860478450156,0.008452738701397993
1.1,16,120,69.55647786458333,64.22200520833333,5.33447265625,92.46131415790639,2.099776204427083,1.0,13.112198893229166,40.75,0.002819035425600463,0.008387048934524266
1.2,1,120,88.29915364583333,14.385172526041666,73.91398111979167,16.482033383493185,0.8634562174479167,1.0,14.049609375,43.875,0.002934939647110426,0.0088017389925716
1.2,2,120,88.88671875,21.6357421875,67.2509765625,24.626847417601756,1.6217569986979166,1.0,13.941691080729166,44.6875,0.002914666918465997,0.008719897964865867
1.2,4,120,89.10400390625,32.411295572916664,56.692708333333336,36.73908892628603,2.8911376953125,1.0,12.92880859375,43.375,0.0028666530585178696,0.008705032729729383
1.2,6,120,89.61669921875,40.930989583333336,48.685709635416664,46.0655054572899,3.91341552734375,1.0,12.913623046875,47.5625,0.0028458704213037427,0.008623117510104823
1.2,8,120,89.50724283854167,47.241617838541664,42.265625,53.21219804494587,4.6725341796875,1.0,12.685555013020833,41.3125,0.002832647141525644,0.008506082283972543
1.2,12,120,89.37784830729167,55.594482421875,33.783365885416664,62.65574680323246,5.75540771484375,1.0,12.3164794921875,39.59375,0.0027969812354726002,0.008416739051016035
1.2,16,120,89.29117838541667,60.364583333333336,28.926595052083332,68.02916434032377,6.4662841796875,1.0,12.267041015625,37.34375,0.0027899912582692384,0.008266276185791097
